Event,Type,Net,Length,Maturity,Board number,Comment,Dorsal,Lateral,,Col9,Col10,Col11,Col12,Measurer
19,RMT8,1,54,MS3,3,,JR260B_krill_image_6.JPG,JR260B_krill_image_5.JPG,,65,65,0,0,sof
19,RMT8,1,37,J,3,,JR260B_krill_image_6.JPG,JR260B_krill_image_5.JPG,,,More,0,0,sof
19,RMT8,1,51,FA2,3,,JR260B_krill_image_6.JPG,JR260B_krill_image_5.JPG,,,,1680,1,sof
19,RMT8,1,41,FS1,3,,JR260B_krill_image_6.JPG,JR260B_krill_image_5.JPG,,,,,,sof
19,RMT8,1,41,MS1,3,,JR260B_krill_image_6.JPG,JR260B_krill_image_5.JPG,,,,,,sof
19,RMT8,1,32,J,3,,JR260B_krill_image_6.JPG,JR260B_krill_image_5.JPG,,,,,,sof
19,RMT8,1,42,MS1,3,,JR260B_krill_image_6.JPG,JR260B_krill_image_5.JPG,,,,,,sof
19,RMT8,1,34,J,3,,JR260B_krill_image_6.JPG,JR260B_krill_image_5.JPG,,,,,,sof
19,RMT8,1,42,MS1,3,,JR260B_krill_image_6.JPG,JR260B_krill_image_5.JPG,,,,,,sof
19,RMT8,1,42,MS1,3,,JR260B_krill_image_6.JPG,JR260B_krill_image_5.JPG,,,,,,sof
19,RMT8,1,45,FS1,3,,JR260B_krill_image_6.JPG,JR260B_krill_image_5.JPG,,,,,,sof
19,RMT8,1,47,FS1,3,,JR260B_krill_image_6.JPG,JR260B_krill_image_5.JPG,,,,,,sof
19,RMT8,1,52,MS2,3,,JR260B_krill_image_6.JPG,JR260B_krill_image_5.JPG,,,,,,sof
19,RMT8,1,38,MS1,3,,JR260B_krill_image_6.JPG,JR260B_krill_image_5.JPG,,,,,,sof
19,RMT8,1,43,MS2,3,,JR260B_krill_image_6.JPG,JR260B_krill_image_5.JPG,,,,,,sof
19,RMT8,1,41,MS1,3,,JR260B_krill_image_6.JPG,JR260B_krill_image_5.JPG,,,,,,sof
19,RMT8,1,45,FS1,3,,JR260B_krill_image_6.JPG,JR260B_krill_image_5.JPG,,,,,,sof
19,RMT8,1,43,MS1,3,,JR260B_krill_image_6.JPG,JR260B_krill_image_5.JPG,,,,,,sof
19,RMT8,1,55,MA1,3,,JR260B_krill_image_6.JPG,JR260B_krill_image_5.JPG,,,,,,sof
19,RMT8,1,55,FA2,4,measured left to right,JR260B_krill_image_8.JPG,JR260B_krill_image_7.JPG,,,,,,sof
19,RMT8,1,55,MA1,4,,JR260B_krill_image_8.JPG,JR260B_krill_image_7.JPG,,,,,,sof
19,RMT8,1,49,FA2,4,,JR260B_krill_image_8.JPG,JR260B_krill_image_7.JPG,,,,,,sof
19,RMT8,1,36,FS1,4,,JR260B_krill_image_8.JPG,JR260B_krill_image_7.JPG,,,,,,sof
19,RMT8,1,36,FS1,4,,JR260B_krill_image_8.JPG,JR260B_krill_image_7.JPG,,,,,,sof
19,RMT8,1,44,MS1,4,,JR260B_krill_image_8.JPG,JR260B_krill_image_7.JPG,,,,,,sof
19,RMT8,1,41,MS1,4,,JR260B_krill_image_8.JPG,JR260B_krill_image_7.JPG,,,,,,sof
19,RMT8,1,43,MS1,4,,JR260B_krill_image_8.JPG,JR260B_krill_image_7.JPG,,,,,,sof
19,RMT8,1,36,MS1,4,,JR260B_krill_image_8.JPG,JR260B_krill_image_7.JPG,,,,,,sof
19,RMT8,1,37,FS1,4,,JR260B_krill_image_8.JPG,JR260B_krill_image_7.JPG,,,,,,sof
19,RMT8,1,42,MS1,4,,JR260B_krill_image_8.JPG,JR260B_krill_image_7.JPG,,,,,,sof
19,RMT8,1,29,J,4,,JR260B_krill_image_8.JPG,JR260B_krill_image_7.JPG,,,,,,sof
19,RMT8,1,53,MA1,4,,JR260B_krill_image_8.JPG,JR260B_krill_image_7.JPG,,,,,,sof
19,RMT8,1,52,MS3,4,,JR260B_krill_image_8.JPG,JR260B_krill_image_7.JPG,,,,,,sof
19,RMT8,1,51,MS3,4,,JR260B_krill_image_8.JPG,JR260B_krill_image_7.JPG,,,,,,sof
19,RMT8,1,52,FA2,4,,JR260B_krill_image_8.JPG,JR260B_krill_image_7.JPG,,,,,,sof
19,RMT8,1,46,MS1,4,,JR260B_krill_image_8.JPG,JR260B_krill_image_7.JPG,,,,,,sof
19,RMT8,1,40,FS1,4,,JR260B_krill_image_8.JPG,JR260B_krill_image_7.JPG,,,,,,sof
19,RMT8,1,48,FA2,4,,JR260B_krill_image_8.JPG,JR260B_krill_image_7.JPG,,,,,,sof
19,RMT8,1,58,FA2,4,,JR260B_krill_image_8.JPG,JR260B_krill_image_7.JPG,,,,,,sof
19,RMT8,1,58,FA2,5,measured left to right,JR260B_krill_image_10.JPG,JR260B_krill_image_9.JPG,,,,,,sof
19,RMT8,1,46,MS2,5,,JR260B_krill_image_10.JPG,JR260B_krill_image_9.JPG,,,,,,sof
19,RMT8,1,44,MS1,5,,JR260B_krill_image_10.JPG,JR260B_krill_image_9.JPG,,,,,,sof
19,RMT8,1,41,MS1,5,,JR260B_krill_image_10.JPG,JR260B_krill_image_9.JPG,,,,,,sof
19,RMT8,1,39,FS1,5,,JR260B_krill_image_10.JPG,JR260B_krill_image_9.JPG,,,,,,sof
19,RMT8,1,,FA2,5,tail missing,JR260B_krill_image_10.JPG,JR260B_krill_image_9.JPG,,,,,,sof
19,RMT8,1,43,MS1,5,,JR260B_krill_image_10.JPG,JR260B_krill_image_9.JPG,,,,,,sof
19,RMT8,1,41,FS1,5,,JR260B_krill_image_10.JPG,JR260B_krill_image_9.JPG,,,,,,sof
19,RMT8,1,53,FA2,5,,JR260B_krill_image_10.JPG,JR260B_krill_image_9.JPG,,,,,,sof
19,RMT8,1,40,FS1,5,,JR260B_krill_image_10.JPG,JR260B_krill_image_9.JPG,,,,,,sof
19,RMT8,1,38,U,5,,JR260B_krill_image_10.JPG,JR260B_krill_image_9.JPG,,,,,,sof
19,RMT8,1,50,MS2,5,,JR260B_krill_image_10.JPG,JR260B_krill_image_9.JPG,,,,,,sof
19,RMT8,1,44,FS1,5,,JR260B_krill_image_10.JPG,JR260B_krill_image_9.JPG,,,,,,sof
19,RMT8,1,40,FS1,5,,JR260B_krill_image_10.JPG,JR260B_krill_image_9.JPG,,,,,,sof
19,RMT8,1,36,FS1,5,,JR260B_krill_image_10.JPG,JR260B_krill_image_9.JPG,,,,,,sof
19,RMT8,1,34,J,5,,JR260B_krill_image_10.JPG,JR260B_krill_image_9.JPG,,,,,,sof
19,RMT8,1,46,MS1,5,,JR260B_krill_image_10.JPG,JR260B_krill_image_9.JPG,,,,,,sof
19,RMT8,1,40,MS1,5,,JR260B_krill_image_10.JPG,JR260B_krill_image_9.JPG,,,,,,sof
19,RMT8,1,40,FS1,5,,JR260B_krill_image_10.JPG,JR260B_krill_image_9.JPG,,,,,,sof
19,RMT8,1,55,FA2,5,,JR260B_krill_image_10.JPG,JR260B_krill_image_9.JPG,,,,,,sof
20,RTM8,2,54,FA2,1,,JR260B_krill_image_12.JPG,JR260B_krill_image_11.JPG,,,,,,sof
20,RTM8,2,52,FA2,1,,JR260B_krill_image_12.JPG,JR260B_krill_image_11.JPG,,,,,,sof
20,RTM8,2,55,FA2,1,,JR260B_krill_image_12.JPG,JR260B_krill_image_11.JPG,,,,,,sof
20,RTM8,2,54,FA2,1,,JR260B_krill_image_12.JPG,JR260B_krill_image_11.JPG,,,,,,sof
20,RTM8,2,57,FA2,1,,JR260B_krill_image_12.JPG,JR260B_krill_image_11.JPG,,,,,,sof
20,RTM8,2,54,FA2,1,,JR260B_krill_image_12.JPG,JR260B_krill_image_11.JPG,,,,,,sof
20,RTM8,2,45,FS1,1,,JR260B_krill_image_12.JPG,JR260B_krill_image_11.JPG,,,,,,sof
20,RTM8,2,53,FA2,1,,JR260B_krill_image_12.JPG,JR260B_krill_image_11.JPG,,,,,,sof
20,RTM8,2,57,FA2,1,,JR260B_krill_image_12.JPG,JR260B_krill_image_11.JPG,,,,,,sof
20,RTM8,2,56,FA2,1,,JR260B_krill_image_12.JPG,JR260B_krill_image_11.JPG,,,,,,sof
20,RTM8,2,57,FA2,1,,JR260B_krill_image_12.JPG,JR260B_krill_image_11.JPG,,,,,,sof
20,RTM8,2,58,FA2,1,,JR260B_krill_image_12.JPG,JR260B_krill_image_11.JPG,,,,,,sof
20,RTM8,2,59,FA2,1,,JR260B_krill_image_12.JPG,JR260B_krill_image_11.JPG,,,,,,sof
20,RTM8,2,55,FA2,1,,JR260B_krill_image_12.JPG,JR260B_krill_image_11.JPG,,,,,,sof
20,RTM8,2,54,FA2,1,,JR260B_krill_image_12.JPG,JR260B_krill_image_11.JPG,,,,,,sof
20,RTM8,2,57,FA2,1,,JR260B_krill_image_12.JPG,JR260B_krill_image_11.JPG,,,,,,sof
20,RTM8,2,55,FA3,1,,JR260B_krill_image_12.JPG,JR260B_krill_image_11.JPG,,,,,,sof
20,RTM8,2,50,FA2,1,,JR260B_krill_image_12.JPG,JR260B_krill_image_11.JPG,,,,,,sof
20,RTM8,2,57,FA2,1,,JR260B_krill_image_12.JPG,JR260B_krill_image_11.JPG,,,,,,sof
20,RTM8,2,57,FA2,1,,JR260B_krill_image_12.JPG,JR260B_krill_image_11.JPG,,,,,,sof
20,RTM8,2,47,MS1,2,,JR260B_krill_image_14.JPG,JR260B_krill_image_13.JPG,,,,,,sof
20,RTM8,2,51,MA1,2,,JR260B_krill_image_14.JPG,JR260B_krill_image_13.JPG,,,,,,sof
20,RTM8,2,51,MA1,2,,JR260B_krill_image_14.JPG,JR260B_krill_image_13.JPG,,,,,,sof
20,RTM8,2,55,MA1,2,,JR260B_krill_image_14.JPG,JR260B_krill_image_13.JPG,,,,,,sof
20,RTM8,2,55,MA2,2,,JR260B_krill_image_14.JPG,JR260B_krill_image_13.JPG,,,,,,sof
20,RTM8,2,52,MA2,2,,JR260B_krill_image_14.JPG,JR260B_krill_image_13.JPG,,,,,,sof
20,RTM8,2,51,MA2,2,,JR260B_krill_image_14.JPG,JR260B_krill_image_13.JPG,,,,,,sof
20,RTM8,2,51,MA2,2,,JR260B_krill_image_14.JPG,JR260B_krill_image_13.JPG,,,,,,sof
20,RTM8,2,55,MA2,2,,JR260B_krill_image_14.JPG,JR260B_krill_image_13.JPG,,,,,,sof
20,RTM8,2,54,FA2,2,,JR260B_krill_image_14.JPG,JR260B_krill_image_13.JPG,,,,,,sof
20,RTM8,2,55,FA2,2,,JR260B_krill_image_14.JPG,JR260B_krill_image_13.JPG,,,,,,sof
20,RTM8,2,52,FA2,2,,JR260B_krill_image_14.JPG,JR260B_krill_image_13.JPG,,,,,,sof
20,RTM8,2,52,FA2,2,,JR260B_krill_image_14.JPG,JR260B_krill_image_13.JPG,,,,,,sof
20,RTM8,2,56,FA2,2,,JR260B_krill_image_14.JPG,JR260B_krill_image_13.JPG,,,,,,sof
20,RTM8,2,52,FA2,2,,JR260B_krill_image_14.JPG,JR260B_krill_image_13.JPG,,,,,,sof
20,RTM8,2,57,FA2,2,,JR260B_krill_image_14.JPG,JR260B_krill_image_13.JPG,,,,,,sof
20,RTM8,2,54,FA2,2,,JR260B_krill_image_14.JPG,JR260B_krill_image_13.JPG,,,,,,sof
20,RTM8,2,55,FA2,2,,JR260B_krill_image_14.JPG,JR260B_krill_image_13.JPG,,,,,,sof
20,RTM8,2,55,FA2,2,,JR260B_krill_image_14.JPG,JR260B_krill_image_13.JPG,,,,,,sof
20,RTM8,2,56,FA2,2,,JR260B_krill_image_14.JPG,JR260B_krill_image_13.JPG,,,,,,sof
20,RTM8,2,50,FA2,3,,JR260B_krill_image_16.JPG,JR260B_krill_image_15.JPG,,,,,,sof
20,RTM8,2,54,FA2,3,,JR260B_krill_image_16.JPG,JR260B_krill_image_15.JPG,,,,,,sof
20,RTM8,2,51,FA2,3,,JR260B_krill_image_16.JPG,JR260B_krill_image_15.JPG,,,,,,sof
20,RTM8,2,53,FA2,3,,JR260B_krill_image_16.JPG,JR260B_krill_image_15.JPG,,,,,,sof
20,RTM8,2,56,FA2,3,,JR260B_krill_image_16.JPG,JR260B_krill_image_15.JPG,,,,,,sof
20,RTM8,2,56,FA2,3,,JR260B_krill_image_16.JPG,JR260B_krill_image_15.JPG,,,,,,sof
20,RTM8,2,55,FA2,3,,JR260B_krill_image_16.JPG,JR260B_krill_image_15.JPG,,,,,,sof
