Event,Type,Net,Length,Maturity,Board number,Comment,Dorsal,Lateral,,,,,,,,,Col5,Bin,Frequency,Col8
104,RMT8,1,31,J,2,,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg,,,,,,,,,,More,0,0
104,RMT8,1,37,MS1,2,,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,28,J,2,,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,41,MS1,2,,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,36,MS1,2,,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,39,MS1,2,,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,39,MS1,2,,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,37,MS1,2,,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,45,MS1,2,,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,31,J,2,,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,32,J,2,,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,37,J,2,,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,37,J,2,,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,36,J,2,,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,40,MS1,2,,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,38,J,2,,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,36,J,2,,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,29,J,2,,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,35,U,2,,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,42,MS1,2,,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,38,MS1,2,,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,36,J,2,,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,43,MS1,2,,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,41,MS1,2,,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,40,MS1,2,,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,52,MA1,3,,JR291_Event104_Net1_Board3_Dorsal.jpg,JR291_Event104_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,38,MS1,3,,JR291_Event104_Net1_Board3_Dorsal.jpg,JR291_Event104_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,35,J,3,,JR291_Event104_Net1_Board3_Dorsal.jpg,JR291_Event104_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,40,MS1,3,,JR291_Event104_Net1_Board3_Dorsal.jpg,JR291_Event104_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,41,MS1,3,,JR291_Event104_Net1_Board3_Dorsal.jpg,JR291_Event104_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,37,J,3,,JR291_Event104_Net1_Board3_Dorsal.jpg,JR291_Event104_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,37,FS1,3,,JR291_Event104_Net1_Board3_Dorsal.jpg,JR291_Event104_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,45,MS3,3,,JR291_Event104_Net1_Board3_Dorsal.jpg,JR291_Event104_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,38,FS1,3,,JR291_Event104_Net1_Board3_Dorsal.jpg,JR291_Event104_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,29,J,3,,JR291_Event104_Net1_Board3_Dorsal.jpg,JR291_Event104_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,33,J,3,,JR291_Event104_Net1_Board3_Dorsal.jpg,JR291_Event104_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,39,MS1,3,,JR291_Event104_Net1_Board3_Dorsal.jpg,JR291_Event104_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,40,MS1,3,,JR291_Event104_Net1_Board3_Dorsal.jpg,JR291_Event104_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,40,MS1,3,,JR291_Event104_Net1_Board3_Dorsal.jpg,JR291_Event104_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,33,J,3,,JR291_Event104_Net1_Board3_Dorsal.jpg,JR291_Event104_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,30,J,3,,JR291_Event104_Net1_Board3_Dorsal.jpg,JR291_Event104_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,33,J,3,,JR291_Event104_Net1_Board3_Dorsal.jpg,JR291_Event104_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,34,J,3,,JR291_Event104_Net1_Board3_Dorsal.jpg,JR291_Event104_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,40,J,3,,JR291_Event104_Net1_Board3_Dorsal.jpg,JR291_Event104_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,35,J,3,,JR291_Event104_Net1_Board3_Dorsal.jpg,JR291_Event104_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,39,J,3,,JR291_Event104_Net1_Board3_Dorsal.jpg,JR291_Event104_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,40,MS1,3,,JR291_Event104_Net1_Board3_Dorsal.jpg,JR291_Event104_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,39,MS1,3,,JR291_Event104_Net1_Board3_Dorsal.jpg,JR291_Event104_Net1_Board3_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,50,MS3,4,,JR291_Event104_Net1_Board4_Dorsal.jpg,JR291_Event104_Net1_Board4_Lateral.jpg,,,,,,,,,,,,
104,RMT8,1,39,J,4,,JR291_Event104_Net1_Board4_Dorsal.jpg,JR291_Event104_Net1_Board4_Lateral.jpg,,,,,,,,,,,,
